Date,Sleep_Started,Struggle_Time,Interventions,Actual_Sleep_Time,Wake_Up_Time,Sleep_Duration,Sleep_Location,Total_Sleep_Mins,Total_Struggle_Mins
5/22/2017,2:30:00 AM,0:00:00,,2:30:00 AM,3:43:00 AM,1:13:00,Crib,73.00,0.00
5/22/2017,3:45:00 AM,0:00:00,,3:45:00 AM,5:31:00 AM,1:46:00,Crib,106.00,0.00
5/22/2017,5:45:00 AM,0:00:00,,5:45:00 AM,7:07:00 AM,1:22:00,Crib,82.00,0.00
5/22/2017,7:10:00 AM,0:00:00,,7:10:00 AM,9:16:00 AM,2:06:00,Bed,126.00,0.00
5/22/2017,11:02:00 AM,0:00:00,,11:02:00 AM,11:50:00 AM,0:48:00,Car,48.00,0.00
5/22/2017,3:05:00 PM,0:07:00,,3:12:00 PM,5:18:00 PM,2:06:00,Crib,126.00,7.00
5/22/2017,10:15:00 PM,0:00:00,,10:15:00 PM,4:04:00 AM,5:49:00,Crib ,349.00,0.00
5/23/2017,4:04:00 AM,0:22:00,,4:26:00 AM,7:02:00 AM,2:36:00,Crib,156.00,22.00
5/23/2017,8:42:00 AM,0:06:00,,8:48:00 AM,10:09:00 AM,1:21:00,Crib,81.00,6.00
5/23/2017,2:00:00 PM,0:09:00,,2:09:00 PM,4:00:00 PM,1:51:00,Crib,111.00,9.00
5/23/2017,6:15:00 PM,0:00:00,,6:15:00 PM,7:10:00 PM,0:55:00,Car,55.00,0.00
5/23/2017,10:30:00 PM,0:00:00,,10:30:00 PM,1:12:00 AM,2:42:00,Crib,162.00,0.00
5/24/2017,1:29:00 AM,0:00:00,,1:29:00 AM,5:17:00 AM,3:48:00,Crib,228.00,0.00
5/24/2017,5:58:00 AM,0:00:00,,5:58:00 AM,6:04:00 AM,0:06:00,Crib,6.00,0.00
5/24/2017,6:13:00 AM,1:43:00,,7:56:00 AM,9:14:00 AM,1:18:00,Bed,78.00,103.00
5/24/2017,11:29:00 AM,0:00:00,,11:29:00 AM,12:13:00 PM,0:44:00,Car,44.00,0.00
5/24/2017,1:51:00 PM,0:58:00,3,2:49:00 PM,4:35:00 PM,1:46:00,Crib,106.00,58.00
5/24/2017,6:13:00 PM,0:00:00,,6:13:00 PM,6:48:00 PM,0:35:00,Car,35.00,0.00
5/24/2017,9:29:00 PM,0:35:00,,10:04:00 PM,3:25:00 AM,5:21:00,Crib,321.00,35.00
5/25/2017,4:10:00 AM,0:00:00,,4:10:00 AM,6:07:00 AM,1:57:00,Crib,117.00,0.00
5/25/2017,6:25:00 AM,0:30:00,,6:55:00 AM,10:04:00 AM,3:09:00,Bed,189.00,30.00
5/25/2017,2:31:00 PM,0:03:00,,2:34:00 PM,3:51:00 PM,1:17:00,Crib,77.00,3.00
5/25/2017,9:50:00 PM,0:08:00,,9:58:00 PM,1:07:00 AM,3:09:00,Crib ,189.00,8.00
5/26/2017,1:07:00 AM,0:12:00,,1:19:00 AM,2:08:00 AM,0:49:00,Crib,49.00,12.00
5/26/2017,2:08:00 AM,0:52:00,,3:00:00 AM,4:55:00 AM,1:55:00,Bed,115.00,52.00
5/26/2017,5:00:00 AM,0:00:00,,5:00:00 AM,6:48:00 AM,1:48:00,Crib,108.00,0.00
5/26/2017,7:55:00 AM,0:00:00,,7:55:00 AM,8:31:00 AM,0:36:00,Car,36.00,0.00
5/26/2017,10:01:00 AM,0:00:00,,10:01:00 AM,10:34:00 AM,0:33:00,Car,33.00,0.00
5/26/2017,1:51:00 PM,0:39:00,,2:30:00 PM,3:30:00 PM,1:00:00,Crib,60.00,39.00
5/26/2017,4:09:00 PM,0:00:00,,4:09:00 PM,5:05:00 PM,0:56:00,Car,56.00,0.00
5/26/2017,8:20:00 PM,0:00:00,,8:20:00 PM,10:15:00 PM,1:55:00,Car,115.00,0.00
5/27/2017,12:45:00 AM,0:00:00,,12:45:00 AM,5:14:00 AM,4:29:00,Crib,269.00,0.00
5/27/2017,5:18:00 AM,0:12:00,,5:30:00 AM,8:15:00 AM,2:45:00,Bed,165.00,12.00
5/27/2017,1:10:00 PM,0:45:00,,1:55:00 PM,2:54:00 PM,0:59:00,Crib,59.00,45.00
